H	K	L	2THETA	D-VALUE	MULT	INTENSITY
0	0	1	14.76	6.0003	2	1000.0
1	-1	0	15.29	5.7948	2	21.6
1	1	0	15.29	5.7948	2	21.6
0	2	0	21.05	4.2196	2	219.2
1	1	-1	21.32	4.1683	2	6.6
1	1	1	21.32	4.1683	2	6.6
1	-1	1	21.32	4.1683	2	6.6
1	-1	-1	21.32	4.1683	2	6.6
2	0	0	22.31	3.9855	2	150.5
1	2	0	23.86	3.7293	2	177.7
1	-2	0	23.86	3.7293	2	177.7
2	-1	0	24.70	3.6039	2	107.9
2	1	0	24.70	3.6039	2	107.9
0	2	-1	25.81	3.4516	2	164.9
0	2	1	25.81	3.4516	2	164.9
2	0	-1	26.85	3.3199	2	225.1
2	0	1	26.85	3.3199	2	225.1
1	2	-1	28.17	3.1674	2	476.2
1	-2	1	28.17	3.1674	2	476.2
1	2	1	28.17	3.1674	2	476.2
1	-2	-1	28.17	3.1674	2	476.2
2	1	1	28.90	3.0894	2	437.0
2	1	-1	28.90	3.0894	2	437.0
2	-1	-1	28.90	3.0894	2	437.0
2	-1	1	28.90	3.0894	2	437.0
0	0	2	29.78	3.0001	2	514.6
2	-2	0	30.86	2.8974	2	221.1
2	2	0	30.86	2.8974	2	221.1
1	1	-2	33.64	2.6643	2	108.0
1	1	2	33.64	2.6643	2	108.0
1	-1	2	33.64	2.6643	2	108.0
1	-1	-2	33.64	2.6643	2	108.0
1	3	0	33.79	2.6527	2	205.0
1	-3	0	33.79	2.6527	2	205.0
2	-2	1	34.37	2.6091	2	20.9
2	2	-1	34.37	2.6091	2	20.9
2	-2	-1	34.37	2.6091	2	20.9
2	2	1	34.37	2.6091	2	20.9
3	-1	0	35.42	2.5344	2	134.3
3	1	0	35.42	2.5344	2	134.3
0	2	2	36.76	2.4451	2	155.4
0	2	-2	36.76	2.4451	2	155.4
1	3	1	37.05	2.4262	2	25.6
1	3	-1	37.05	2.4262	2	25.6
1	-3	-1	37.05	2.4262	2	25.6
