H	K	L	2THETA	D-VALUE	MULT	INTENSITY
1	1	1	28.47	3.1353	2	1000.0
1	1	-1	28.47	3.1353	2	1000.0
1	-1	1	28.47	3.1353	2	1000.0
1	-1	-1	28.47	3.1353	2	1000.0
2	2	0	47.35	1.9200	2	427.3
2	0	-2	47.35	1.9200	2	427.3
0	2	-2	47.35	1.9200	2	427.3
2	-2	0	47.35	1.9200	2	427.3
2	0	2	47.35	1.9200	2	427.3
0	2	2	47.35	1.9200	2	427.3
1	3	1	56.18	1.6374	2	123.7
1	1	3	56.18	1.6374	2	123.7
1	1	-3	56.18	1.6374	2	123.7
3	1	1	56.18	1.6374	2	123.7
3	1	-1	56.18	1.6374	2	123.7
3	-1	1	56.18	1.6374	2	123.7
1	-3	1	56.18	1.6374	2	123.7
1	-1	3	56.18	1.6374	2	123.7
1	3	-1	56.18	1.6374	2	123.7
3	-1	-1	56.18	1.6374	2	123.7
1	-3	-1	56.18	1.6374	2	123.7
1	-1	-3	56.18	1.6374	2	123.7
2	-2	2	58.91	1.5677	2	0.0
2	2	-2	58.91	1.5677	2	0.0
2	-2	-2	58.91	1.5677	2	0.0
2	2	2	58.91	1.5677	2	0.0
