[Measurement conditions]
Sample identification,BFO_Glass_Test
Comment - 1,"Configuration=Spinner-1, Owner=User-1, Creation date=30/06/2014 21:58:06"
Comment - 2,"Goniometer=PW3050/60 (Theta/2Theta); Minimum step size 2Theta:0.001; Minimum step size Omega:0.001"
Comment - 3,"Sample stage=Spinner PW3064"
Comment - 4,"Diffractometer system=XPERT-PRO"
Comment - 5,"Measurement program=C:\XRD Data\Finlay\ZnO_test.xrdmp, Identifier={BBCAE591-F20A-49C9-93EC-615EC0561F4C}"
Comment - 6,"Batch program=C:\XRD Data\Finlay\2023-02-15_BatchSamplesZnOSteelBFOGlass.xrdmp, Identifier={B3E1DC79-A0EB-4A26-AF34-6AF87A09E2E1}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.000
Divergence slit,Fixed,0.5
Monochromator used,YES
Generator voltage, 40
Tube current, 40
File date and time,15/Feb/2023 10:13
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,5.000000001,100.003564139
Scan step size,0.0041778
No. of points, 22740
Scan type,CONTINUOUS
Time per step,13.970
[Scan points]
Angle, TimePerStep, Intensity, ESD
5.002088910, 13.970, 76.0, 8.7178
5.006266727, 13.970, 78.0, 8.8318
5.010444544, 13.970, 71.0, 8.4261
5.014622362, 13.970, 77.0, 8.7750
5.018800179, 13.970, 83.0, 9.1104
5.022977996, 13.970, 71.0, 8.4261
5.027155813, 13.970, 80.0, 8.9443
5.031333631, 13.970, 79.0, 8.8882
5.035511448, 13.970, 77.0, 8.7750
5.039689265, 13.970, 82.0, 9.0554
5.043867082, 13.970, 79.0, 8.8882
5.048044900, 13.970, 67.0, 8.1854
5.052222717, 13.970, 62.0, 7.8740
5.056400534, 13.970, 76.0, 8.7178
5.060578351, 13.970, 101.0, 10.0499
5.064756169, 13.970, 70.0, 8.3666
5.068933986, 13.970, 83.0, 9.1104
5.073111803, 13.970, 95.0, 9.7468
5.077289620, 13.970, 76.0, 8.7178
5.081467438, 13.970, 85.0, 9.2195
5.085645255, 13.970, 70.0, 8.3666
5.089823072, 13.970, 49.0, 7.0000
5.094000889, 13.970, 75.0, 8.6603
5.098178707, 13.970, 78.0, 8.8318
5.102356524, 13.970, 77.0, 8.7750
5.106534341, 13.970, 79.0, 8.8882
5.110712158, 13.970, 80.0, 8.9443
5.114889976, 13.970, 93.0, 9.6437
5.119067793, 13.970, 77.0, 8.7750
5.123245610, 13.970, 70.0, 8.3666
5.127423427, 13.970, 75.0, 8.6603
5.131601245, 13.970, 65.0, 8.0623
5.135779062, 13.970, 87.0, 9.3274
5.139956879, 13.970, 73.0, 8.5440
5.144134696, 13.970, 82.0, 9.0554
5.148312514, 13.970, 84.0, 9.1652
5.152490331, 13.970, 63.0, 7.9373
5.156668148, 13.970, 71.0, 8.4261
5.160845965, 13.970, 76.0, 8.7178
5.165023783, 13.970, 70.0, 8.3666
5.169201600, 13.970, 84.0, 9.1652
5.173379417, 13.970, 74.0, 8.6023
5.177557234, 13.970, 63.0, 7.9373
5.181735052, 13.970, 70.0, 8.3666
5.185912869, 13.970, 80.0, 8.9443
5.190090686, 13.970, 82.0, 9.0554
5.194268503, 13.970, 70.0, 8.3666
5.198446320, 13.970, 80.0, 8.9443
5.202624138, 13.970, 63.0, 7.9373
5.206801955, 13.970, 67.0, 8.1854
5.210979772, 13.970, 84.0, 9.1652
5.215157589, 13.970, 67.0, 8.1854
5.219335407, 13.970, 71.0, 8.4261
5.223513224, 13.970, 75.0, 8.6603
5.227691041, 13.970, 83.0, 9.1104
5.231868858, 13.970, 53.0, 7.2801
5.236046676, 13.970, 72.0, 8.4853
5.240224493, 13.970, 78.0, 8.8318
5.244402310, 13.970, 64.0, 8.0000
5.248580127, 13.970, 67.0, 8.1854
5.252757945, 13.970, 73.0, 8.5440
5.256935762, 13.970, 56.0, 7.4833
5.261113579, 13.970, 67.0, 8.1854
5.265291396, 13.970, 72.0, 8.4853
5.269469214, 13.970, 80.0, 8.9443
5.273647031, 13.970, 87.0, 9.3274
5.277824848, 13.970, 65.0, 8.0623
5.282002665, 13.970, 66.0, 8.1240
5.286180483, 13.970, 63.0, 7.9373
5.290358300, 13.970, 61.0, 7.8102
5.294536117, 13.970, 74.0, 8.6023
5.298713934, 13.970, 79.0, 8.8882
5.302891752, 13.970, 60.0, 7.7460
5.307069569, 13.970, 61.0, 7.8102
5.311247386, 13.970, 70.0, 8.3666
5.315425203, 13.970, 70.0, 8.3666
5.319603021, 13.970, 66.0, 8.1240
5.323780838, 13.970, 65.0, 8.0623
5.327958655, 13.970, 64.0, 8.0000
5.332136472, 13.970, 78.0, 8.8318
5.336314290, 13.970, 70.0, 8.3666
5.340492107, 13.970, 70.0, 8.3666
5.344669924, 13.970, 64.0, 8.0000
5.348847741, 13.970, 68.0, 8.2462
5.353025559, 13.970, 75.0, 8.6603
5.357203376, 13.970, 75.0, 8.6603
5.361381193, 13.970, 57.0, 7.5498
5.365559010, 13.970, 84.0, 9.1652
5.369736828, 13.970, 54.0, 7.3485
5.373914645, 13.970, 75.0, 8.6603
5.378092462, 13.970, 80.0, 8.9443
5.382270279, 13.970, 65.0, 8.0623
5.386448096, 13.970, 71.0, 8.4261
5.390625914, 13.970, 79.0, 8.8882
5.394803731, 13.970, 61.0, 7.8102
5.398981548, 13.970, 72.0, 8.4853
5.403159365, 13.970, 57.0, 7.5498
5.407337183, 13.970, 85.0, 9.2195
5.411515000, 13.970, 78.0, 8.8318
5.415692817, 13.970, 74.0, 8.6023
5.419870634, 13.970, 68.0, 8.2462
5.424048452, 13.970, 55.0, 7.4162
5.428226269, 13.970, 71.0, 8.4261
5.432404086, 13.970, 83.0, 9.1104
5.436581903, 13.970, 72.0, 8.4853
5.440759721, 13.970, 74.0, 8.6023
5.444937538, 13.970, 66.0, 8.1240
5.449115355, 13.970, 79.0, 8.8882
5.453293172, 13.970, 49.0, 7.0000
5.457470990, 13.970, 78.0, 8.8318
5.461648807, 13.970, 71.0, 8.4261
5.465826624, 13.970, 77.0, 8.7750
5.470004441, 13.970, 68.0, 8.2462
5.474182259, 13.970, 62.0, 7.8740
5.478360076, 13.970, 55.0, 7.4162
5.482537893, 13.970, 63.0, 7.9373
5.486715710, 13.970, 66.0, 8.1240
5.490893528, 13.970, 73.0, 8.5440
5.495071345, 13.970, 59.0, 7.6811
5.499249162, 13.970, 70.0, 8.3666
5.503426979, 13.970, 65.0, 8.0623
5.507604797, 13.970, 72.0, 8.4853
5.511782614, 13.970, 66.0, 8.1240
5.515960431, 13.970, 64.0, 8.0000
5.520138248, 13.970, 57.0, 7.5498
5.524316066, 13.970, 70.0, 8.3666
5.528493883, 13.970, 63.0, 7.9373
5.532671700, 13.970, 72.0, 8.4853
5.536849517, 13.970, 67.0, 8.1854
5.541027335, 13.970, 70.0, 8.3666
5.545205152, 13.970, 50.0, 7.0711
5.549382969, 13.970, 62.0, 7.8740
5.553560786, 13.970, 59.0, 7.6811
5.557738604, 13.970, 60.0, 7.7460
5.561916421, 13.970, 72.0, 8.4853
5.566094238, 13.970, 82.0, 9.0554
5.570272055, 13.970, 63.0, 7.9373
5.574449872, 13.970, 66.0, 8.1240
5.578627690, 13.970, 59.0, 7.6811
5.582805507, 13.970, 59.0, 7.6811
5.586983324, 13.970, 76.0, 8.7178
5.591161141, 13.970, 71.0, 8.4261
5.595338959, 13.970, 65.0, 8.0623
5.599516776, 13.970, 64.0, 8.0000
